Date,Open,High,Low,Close,Volume
2019-05-23,3886.62,3991.89,3746,3956.5,49301377024
2019-05-22,4083.58,4146.62,3848.9,3889.29,50200940544
2019-05-21,3998.5,4211.82,3916.51,4084.79,52239020032
2019-05-20,4132.99,4140.96,3837.56,3999.09,50872324096
2019-05-19,3721.05,4181.95,3703.77,4132.44,56285646848
2019-05-18,3784.33,3864.53,3667.83,3722.32,46427103232
2019-05-17,4048.36,4096.82,3557.96,3780.24,68584812544
2019-05-16,4156.93,4417.2,3889.55,4047.62,79451021312
2019-05-15,3779.04,4188.74,3746.49,4161.25,64478298112
2019-05-14,3527.1,3866.79,3479.72,3778.44,68709609472
2019-05-13,3287.5,3647.05,3256.39,3527.86,56832196608
2019-05-12,3418.09,3535.48,3212.97,3287.15,57865752576
2019-05-11,3048.17,3532.85,3034.77,3416.69,61953961984
2019-05-10,2968.41,3093.86,2923.94,3047.74,39101452288
2019-05-09,3014.8,3070.8,2909.09,2967.8,32848889856
2019-05-08,2974.79,3041.64,2919.08,3014.22,31478046720
2019-05-07,2998.55,3107.99,2952.99,2974.17,37726265344
2019-05-06,2999.25,3053.36,2895.31,3000.12,34338390016
2019-05-05,3029.05,3053.54,2956.57,3000.2,30622609408
2019-05-04,3076.8,3145.68,2951.61,3028.84,36960157696
2019-05-03,2970.95,3134.02,2945.19,3077.63,38900330496
2019-05-02,2946.39,3010.18,2914.15,2971.42,30771570688
2019-05-01,2941.64,2995.18,2898.58,2945.89,29466257408
2019-04-30,2816.82,2958.6,2797.74,2941.74,31095259136
2019-04-29,2880.82,2915.96,2778.58,2815.76,29362604032
2019-04-28,2898.49,2938.76,2850.46,2880.58,26349191168
2019-04-27,2887.38,2938.74,2849.91,2897.02,26971803648
2019-04-26,2845.36,2942.19,2781.85,2887.13,35633602560
2019-04-25,2998.57,3057.94,2822.69,2842.6,32844027904
2019-04-24,3121.35,3147.48,2918.87,2998.11,38023151616
2019-04-23,3131.33,3237.64,3079,3122.51,34397810688
2019-04-22,3106.41,3173.27,3059.78,3131.2,30411165696
2019-04-21,3182.69,3211.7,3037.28,3107.37,30246002688
2019-04-20,3188.34,3233.19,3137.76,3182.93,28149633024
2019-04-19,3186.79,3231.46,3109.28,3187.75,30201165824
2019-04-18,3125.98,3232.06,3106.87,3186.61,30246842368
2019-04-17,3131.65,3178.32,3073,3125.99,27066077184
2019-04-16,3047.51,3150.63,3006.28,3131.96,25929433088
2019-04-15,3126.08,3193.13,2990.17,3047.47,29369868288
2019-04-14,3057.25,3150.82,3009.25,3125.8,23662430208
2019-04-13,3061.8,3111.03,3013.15,3057.58,24649738240
2019-04-12,3048.82,3109.54,2945.21,3062.32,30766893056
2019-04-11,3293.62,3311.92,2956.46,3049.91,39234572288
2019-04-10,3234.54,3376.33,3217.61,3293.51,35823681536
2019-04-09,3315.67,3336.59,3184.83,3235.11,34072641536
2019-04-08,3335.92,3427.76,3204.34,3315.82,41034166272
2019-04-07,3241.63,3386.67,3203.17,3334.72,38174851072
2019-04-06,3247.75,3366,3162.82,3242.45,37652054016
2019-04-05,3097.23,3288.31,3082.42,3247.47,38134050816
